Mouse,-1min,1min,5min,7.5min,10min
1A,9.9,10.3,10.7,11,10.3
1B,10.2,11.4,12.2,11.2,10.2
1C,5.5,5.9,5.2,4.7,2.7
1D,12.7,13.2,10.5,9,8.3
1E,9.9,9.8,9.3,9,7.4
1F,7.8,8,10.1,9.2,8.4
1G,10.3,11.7,10.7,8,6.5
1H,12.4,12.7,11.9,9.8,8.3
1I,10.9,10.9,10.8,10.9,10.4
1J,8.1,8.7,6.8,6.7,4.4
2A,11.8,10.7,10.8,10.8,11.9
2B,11.7,12,10.3,8.5,7.2
2C,9.3,10.4,9.4,8.4,8.4
2D,10,11.3,8.2,8,6.3
2E,12.5,12.5,11.5,9.9,8.8
2F,11.5,12.3,12,11.3,10.4
2G,10.9,10.5,10,8.4,6.8
2H,14,13.1,15.8,12.4,13.8
2I,13.7,13.5,11.3,10,8.2
2J,10.7,10.7,10.5,9.9,10.3
3A,11.7,12,9.9,7.3,5.8
3B,10.4,14.2,13.5,13.6,13.6
3C,14.3,14.2,12.8,11.2,9.7
3D,11.8,12.4,11.5,11.8,10.9
3E,11.7,10.9,9.1,7.2,5.9
3F,9.4,9.8,9.5,10,10.4
3G,8.9,9,6.4,5,4.2
3H,10.5,11,10.3,10,10
3I,14.1,13,13.3,14.5,12.8
3J,14.4,13.5,12.3,14,10.3
4A,11.5,12.2,12.9,11.6,12.6
4B,12.5,12.7,11.1,9,8.9
4C,16.1,18,15.1,15.1,14.6
4D,14.2,13.3,15.1,11,9.9
4E,11.7,12,12.6,12.2,12.5
4F,7.8,8.6,7.2,6.3,5.7
4G,7.9,8.7,9.2,8.7,8.2
4H,11.5,12.3,11.4,10.9,10.2
4J,13,12.3,9.4,7.9,6.5
5A,9.4,9.7,7.3,6.4,5.3
5B,5.8,6.3,7,7.5,6.8
5C,9.8,9.8,7.6,6.8,5.8
5D,17.3,16.8,17,16.2,16.8
5E,16.1,16.3,14.1,11.8,8.9
5F,12.2,12.3,11.5,11.9,11.9
5H,15.3,15.5,14.5,15.3,15.6
5I,14.6,14.7,12.4,10.3,11.9
5J,13.4,16.8,11.9,11,10.8
6A,12.3,15,10.8,8.6,7.1
6B,8.5,9,6.6,5.3,3.7
6C,10.3,10.6,10.1,11.2,10.8
6D,10,10,8.4,5.3,5.1
6E,8.5,8.5,8.2,8.2,7.7
6F,10.3,9.4,9,7.5,6.2
6G,8.5,8.4,8,7.8,7.6
6H,9.8,10.2,10.3,10.8,11.2
6I,8.2,8.5,7.8,6.5,5.7
6J,5.5,5.8,5.5,5.5,5.3
7A,11.2,12.3,10.4,9.1,8.2
7B,10.2,10,10.5,10,10.3
7C,11.1,10.3,9,7.3,6.2
7D,13.2,13.2,12.8,12.5,12.4
7E,15.1,14.3,13.7,13.5,11.9
7F,8.8,9,9.5,5,4.2
7G,9.3,9.2,9.5,7.5,7.4
7H,10.2,9.9,7.9,6.3,4.2
7I,10.2,9.8,9.2,9.6,11.1
7J,10.8,10.1,9.3,8.2,8.2
8A,9.4,9.3,10.9,12,10.5
8B,9.4,9.5,7.7,6.5,4.8
8C,7.6,7.3,7.5,8.5,8
8D,9.8,14,15.2,10.8,11.2
8E,9.2,9.2,10.6,10.3,9.8
8F,10,9.3,8,6.6,6.2
8G,10.5,9.4,9.8,10.7,11.3
8H,8.7,9,7.9,8.8,5.8
8I,10.4,10,9.8,10,10
8J,8.6,8.7,6.2,5.3,4.1
9A,15,17.3,15,14.8,14.4
9B,15.4,16.3,15.4,13.8,14.9
9C,14.9,15.6,16.3,15.4,14.5
9D,10.3,10.1,9.7,9.9,9.8
9E,9.5,8.9,10.2,8.8,7.8
9F,8.4,8.3,11.1,7.9,7.9
9G,8.4,8.7,7.6,6.5,5.3
9H,10.8,10.6,9.9,9.4,9
9I,9.8,9.2,7.9,6.4,6.2
9J,8,8.2,8,9.1,9.5
10A,8.2,8.2,6.7,6.3,5.2
10B,10.7,10.7,8.2,6.7,5.9
10C,6.7,6.7,5.9,6.5,6.4
10D,9.1,9,7.2,5.7,5.6
10E,9,9.9,9.5,8.6,8.4
10F,8.7,8.4,6.6,5.7,3.7
