Mouse,Tissue,Date ground,Ground mass (mg)
10A,sol,6/07/2022,18.1
10B,sol,6/07/2022,20.5
10C,sol,6/07/2022,19.1
10D,sol,6/07/2022,20.3
10E,sol,6/07/2022,19
10F,sol,6/07/2022,19.6
1A,sol,17/05/2022,7.8
1B,sol,17/05/2022,7
1C,sol,17/05/2022,6.3
1D,sol,17/05/2022,10.3
1E,sol,17/05/2022,13.1
1F,sol,17/05/2022,16
1G,sol,17/05/2022,6.9
1H,sol,9/06/2022,8.6
1I,sol,9/06/2022,5.8
1J,sol,9/06/2022,7.2
2A,sol,9/06/2022,8.9
2B,sol,9/06/2022,12
2C,sol,9/06/2022,12.9
2D,sol,9/06/2022,14.6
2E,sol,9/06/2022,13
2F,sol,9/06/2022,11.8
2G,sol,9/06/2022,11.6
2H,sol,16/06/2022,19.8
2I,sol,16/06/2022,13.3
2J,sol,16/06/2022,13.4
3A,sol,16/06/2022,14.9
3B,sol,16/06/2022,14.7
3C,sol,16/06/2022,15.3
3D,sol,16/06/2022,15.6
3E,sol,16/06/2022,13.5
3F,sol,16/06/2022,12.4
3G,sol,16/06/2022,12.4
3H,sol,16/06/2022,13.5
3I,sol,16/06/2022,14.5
3J,sol,16/06/2022,9.7
4A,sol,17/06/2022,12.3
4B,sol,17/06/2022,17.1
4C,sol,17/06/2022,9.3
4D,sol,17/06/2022,14.1
4E,sol,17/06/2022,11.1
4F,sol,17/06/2022,8.8
4G,sol,17/06/2022,7.7
4H,sol,17/06/2022,9.3
4J,sol,23/06/2022,10.4
5A,sol,23/06/2022,8.5
5B,sol,23/06/2022,7
5C,sol,23/06/2022,8.9
5D,sol,23/06/2022,17.7
5E,sol,23/06/2022,17.6
5F,sol,24/06/2022,18.8
5H,sol,24/06/2022,14.7
5I,sol,24/06/2022,16.5
5J,sol,24/06/2022,15
6A,sol,24/06/2022,12.7
6B,sol,30/06/2022,15.1
6C,sol,30/06/2022,16.8
6D,sol,30/06/2022,13.6
6E,sol,30/06/2022,20.1
6F,sol,30/06/2022,19.8
6G,sol,30/06/2022,14.4
6H,sol,30/06/2022,14.9
6I,sol,30/06/2022,16.3
6J,sol,30/06/2022,8.8
7A,sol,30/06/2022,16.2
7B,sol,30/06/2022,13.4
7C,sol,30/06/2022,15.5
7D,sol,30/06/2022,13.2
7E,sol,30/06/2022,12.7
7F,sol,4/07/2022,19.3
7G,sol,4/07/2022,18.4
7H,sol,4/07/2022,11.8
7I,sol,4/07/2022,17.1
7J,sol,4/07/2022,18.7
8A,sol,4/07/2022,19.2
8B,sol,4/07/2022,18.7
8C,sol,4/07/2022,17.2
8D,sol,4/07/2022,19.5
8E,sol,4/07/2022,17.5
8F,sol,4/07/2022,17.7
8G,sol,4/07/2022,19
8H,sol,4/07/2022,18.2
8I,sol,4/07/2022,15.4
8J,sol,4/07/2022,17.6
9A,sol,6/07/2022,17
9B,sol,6/07/2022,19.1
9C,sol,6/07/2022,15.9
9D,sol,6/07/2022,17.3
9E,sol,6/07/2022,17.1
9F,sol,6/07/2022,19.4
9G,sol,6/07/2022,17.3
9H,sol,6/07/2022,18
9I,sol,6/07/2022,16.2
9J,sol,6/07/2022,20.5
