Cage,Strain,Sex,Genotype,DOB,ID,Tail mark,Group,Diet,Date put on diet,Bas or Ins,Cull code
112917,CAST,M,wt,23/11/2021,399237,0,CAST group 3,CHOW,44627,bas,1A
112917,CAST,M,wt,23/11/2021,399238,1,CAST group 3,CHOW,44627,ins,1C
114028,CAST,M,wt,23/11/2021,399239,2,CAST group 3,HFD,44627,bas,1B
114028,CAST,M,wt,28/11/2021,399240,3,CAST group 3,HFD,44627,ins,1D
112918,CAST,M,wt,16/12/2021,399241,0,CAST group 3,CHOW,44627,bas,1E
112918,CAST,M,wt,16/12/2021,399242,1,CAST group 3,CHOW,44627,ins,1G
114029,CAST,M,wt,16/12/2021,399243,2,CAST group 3,HFD,44627,bas,1F
114029,CAST,M,wt,16/12/2021,399244,3,CAST group 3,HFD,44627,ins,1H
112919,CAST,M,wt,18/11/2021,399245,0,CAST group 3,CHOW,44627,bas,1I
112919,CAST,M,wt,18/11/2021,399246,1,CAST group 3,CHOW,44627,ins,1J
113413,BXD34,M,wt,29/12/2021,400632,0,BXD34 group 1,CHOW,44641,bas,2C
113413,BXD34,M,wt,29/12/2021,400633,1,BXD34 group 1,CHOW,44641,ins,2D
114252,BXD34,M,wt,29/12/2021,400634,2,BXD34 group 1,HFD,44641,bas,2A
114252,BXD34,M,wt,29/12/2021,400635,3,BXD34 group 1,HFD,44641,ins,2B
113414,BXD34,M,wt,29/12/2021,400636,0,BXD34 group 1,HFD,44641,ins,2E
113414,BXD34,M,wt,29/12/2021,400637,1,BXD34 group 1,HFD,44641,bas,2F
113414,BXD34,M,wt,29/12/2021,400638,2,BXD34 group 1,HFD,44641,ins,2G
114115,C57Bl6J,M,wt,44775,402923,0,B6 group 1,HFD,44684,bas,2H
114115,C57Bl6J,M,wt,44775,402924,1,B6 group 1,HFD,44684,ins,2I
115465,C57Bl6J,M,wt,44775,402925,2,B6 group 1,CHOW,44684,bas,2J
115465,C57Bl6J,M,wt,44775,402926,3,B6 group 1,CHOW,44684,ins,3A
114116,C57Bl6J,M,wt,44775,402927,0,B6 group 1,HFD,44684,bas,3B
114116,C57Bl6J,M,wt,44775,402928,1,B6 group 1,HFD,44684,ins,3C
115466,C57Bl6J,M,wt,44775,402929,2,B6 group 1,CHOW,44684,bas,3D
115466,C57Bl6J,M,wt,44775,402930,3,B6 group 1,CHOW,44684,ins,3E
114159,BXH9,M,wt,44562,403129,0,BXH9 group 1,CHOW,44684,bas,3F
114159,BXH9,M,wt,44562,403130,1,BXH9 group 1,CHOW,44684,ins,3G
114159,BXH9,M,wt,44562,403131,2,BXH9 group 1,CHOW,44684,bas,3H
114160,BXH9,M,wt,27/01/2022,403134,0,BXH9 group 1,HFD,44685,bas,3I
114160,BXH9,M,wt,27/01/2022,403135,1,BXH9 group 1,HFD,44685,ins,3J
115484,BXH9,M,wt,27/01/2022,403136,2,BXH9 group 1,CHOW,44685,bas,4A
115484,BXH9,M,wt,27/01/2022,403137,3,BXH9 group 1,CHOW,44685,ins,4B
